Type: 1 GetPower 11 [0, 0, 255, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0xb', '0x0', '0x0', '0xff', '0x0', '0x0', '0x0', '0x0', '0x0', '0xf5']), dec([165, 91, 1, 11, 0, 0, 255, 0, 0, 0, 0, 0, 245]) #63
Type: 1 ARC 20 [0, 0, 0, 0, 0, 0, 255, 255] hex(['0xa5', '0x5b', '0x1', '0x14', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xff', '0xff', '0xed']), dec([165, 91, 1, 20, 0, 0, 0, 0, 0, 0, 255, 255, 237]) #65
Type: 1 GetARC 21 [0, 0, 255, 0, 0, 0, 255, 255] hex(['0xa5', '0x5b', '0x1', '0x15', '0x0', '0x0', '0xff', '0x0', '0x0', '0x0', '0xff', '0xff', '0xed']), dec([165, 91, 1, 21, 0, 0, 255, 0, 0, 0, 255, 255, 237]) #67
Type: 8 Beep 12 [15, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x8', '0xc', '0xf', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xdd']), dec([165, 91, 8, 12, 15, 0, 0, 0, 0, 0, 0, 0, 221]) #69
Type: 1 GetPower 11 [0, 0, 255, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0xb', '0x0', '0x0', '0xff', '0x0', '0x0', '0x0', '0x0', '0x0', '0xf5']), dec([165, 91, 1, 11, 0, 0, 255, 0, 0, 0, 0, 0, 245]) #71
Type: 1 ARC 20 [0, 0, 0, 0, 0, 0, 255, 255] hex(['0xa5', '0x5b', '0x1', '0x14', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xff', '0xff', '0xed']), dec([165, 91, 1, 20, 0, 0, 0, 0, 0, 0, 255, 255, 237]) #73
Type: 1 GetARC 21 [0, 0, 255, 0, 0, 0, 255, 255] hex(['0xa5', '0x5b', '0x1', '0x15', '0x0', '0x0', '0xff', '0x0', '0x0', '0x0', '0xff', '0xff', '0xed']), dec([165, 91, 1, 21, 0, 0, 255, 0, 0, 0, 255, 255, 237]) #75
Type: 8 Beep 12 [15, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x8', '0xc', '0xf', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xdd']), dec([165, 91, 8, 12, 15, 0, 0, 0, 0, 0, 0, 0, 221]) #77
Type: 1 GetPower 11 [0, 0, 255, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0xb', '0x0', '0x0', '0xff', '0x0', '0x0', '0x0', '0x0', '0x0', '0xf5']), dec([165, 91, 1, 11, 0, 0, 255, 0, 0, 0, 0, 0, 245]) #79
Type: 1 ARC 20 [0, 0, 0, 0, 0, 0, 255, 255] hex(['0xa5', '0x5b', '0x1', '0x14', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xff', '0xff', '0xed']), dec([165, 91, 1, 20, 0, 0, 0, 0, 0, 0, 255, 255, 237]) #81
Type: 1 GetARC 21 [0, 0, 255, 0, 0, 0, 255, 255] hex(['0xa5', '0x5b', '0x1', '0x15', '0x0', '0x0', '0xff', '0x0', '0x0', '0x0', '0xff', '0xff', '0xed']), dec([165, 91, 1, 21, 0, 0, 255, 0, 0, 0, 255, 255, 237]) #83
Type: 8 Beep 12 [15, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x8', '0xc', '0xf', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xdd']), dec([165, 91, 8, 12, 15, 0, 0, 0, 0, 0, 0, 0, 221]) #85
Type: 1 GetPower 11 [0, 0, 255, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0xb', '0x0', '0x0', '0xff', '0x0', '0x0', '0x0', '0x0', '0x0', '0xf5']), dec([165, 91, 1, 11, 0, 0, 255, 0, 0, 0, 0, 0, 245]) #87
Type: 1 ARC 20 [0, 0, 0, 0, 0, 0, 255, 255] hex(['0xa5', '0x5b', '0x1', '0x14', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xff', '0xff', '0xed']), dec([165, 91, 1, 20, 0, 0, 0, 0, 0, 0, 255, 255, 237]) #89
Type: 1 GetARC 21 [0, 0, 255, 0, 0, 0, 255, 255] hex(['0xa5', '0x5b', '0x1', '0x15', '0x0', '0x0', '0xff', '0x0', '0x0', '0x0', '0xff', '0xff', '0xed']), dec([165, 91, 1, 21, 0, 0, 255, 0, 0, 0, 255, 255, 237]) #91
Type: 8 Beep 12 [15, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x8', '0xc', '0xf', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xdd']), dec([165, 91, 8, 12, 15, 0, 0, 0, 0, 0, 0, 0, 221]) #93
Type: 1 GetPower 11 [0, 0, 255, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0xb', '0x0', '0x0', '0xff', '0x0', '0x0', '0x0', '0x0', '0x0', '0xf5']), dec([165, 91, 1, 11, 0, 0, 255, 0, 0, 0, 0, 0, 245]) #95
Type: 1 ARC 20 [0, 0, 0, 0, 0, 0, 255, 255] hex(['0xa5', '0x5b', '0x1', '0x14', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xff', '0xff', '0xed']), dec([165, 91, 1, 20, 0, 0, 0, 0, 0, 0, 255, 255, 237]) #97
Type: 1 GetARC 21 [0, 0, 255, 0, 0, 0, 255, 255] hex(['0xa5', '0x5b', '0x1', '0x15', '0x0', '0x0', '0xff', '0x0', '0x0', '0x0', '0xff', '0xff', '0xed']), dec([165, 91, 1, 21, 0, 0, 255, 0, 0, 0, 255, 255, 237]) #99
Type: 8 Beep 12 [15, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x8', '0xc', '0xf', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xdd']), dec([165, 91, 8, 12, 15, 0, 0, 0, 0, 0, 0, 0, 221]) #101
Type: 1 GetPower 11 [0, 0, 255, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0xb', '0x0', '0x0', '0xff', '0x0', '0x0', '0x0', '0x0', '0x0', '0xf5']), dec([165, 91, 1, 11, 0, 0, 255, 0, 0, 0, 0, 0, 245]) #103
Type: 1 ARC 20 [0, 0, 0, 0, 0, 0, 255, 255] hex(['0xa5', '0x5b', '0x1', '0x14', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xff', '0xff', '0xed']), dec([165, 91, 1, 20, 0, 0, 0, 0, 0, 0, 255, 255, 237]) #105
Type: 1 GetARC 21 [0, 0, 255, 0, 0, 0, 255, 255] hex(['0xa5', '0x5b', '0x1', '0x15', '0x0', '0x0', '0xff', '0x0', '0x0', '0x0', '0xff', '0xff', '0xed']), dec([165, 91, 1, 21, 0, 0, 255, 0, 0, 0, 255, 255, 237]) #107
Type: 8 Beep 12 [15, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x8', '0xc', '0xf', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xdd']), dec([165, 91, 8, 12, 15, 0, 0, 0, 0, 0, 0, 0, 221]) #109
Type: 1 GetPower 11 [0, 0, 255, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0xb', '0x0', '0x0', '0xff', '0x0', '0x0', '0x0', '0x0', '0x0', '0xf5']), dec([165, 91, 1, 11, 0, 0, 255, 0, 0, 0, 0, 0, 245]) #111
