Type: 8 Beep 12 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x8', '0xc', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xec']), dec([165, 91, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 236]) #68
Type: 1 GetPower 11 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0xb', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xf4']), dec([165, 91, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 244]) #70
Type: 1 ARC 20 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0x14', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xeb']), dec([165, 91, 1, 20, 0, 0, 0, 0, 0, 0, 0, 0, 235]) #72
Type: 1 GetARC 21 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0x15', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xea']), dec([165, 91, 1, 21, 0, 0, 0, 0, 0, 0, 0, 0, 234]) #74
Type: 8 Beep 12 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x8', '0xc', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xec']), dec([165, 91, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 236]) #76
Type: 1 GetPower 11 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0xb', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xf4']), dec([165, 91, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 244]) #78
Type: 1 ARC 20 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0x14', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xeb']), dec([165, 91, 1, 20, 0, 0, 0, 0, 0, 0, 0, 0, 235]) #80
Type: 1 GetARC 21 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0x15', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xea']), dec([165, 91, 1, 21, 0, 0, 0, 0, 0, 0, 0, 0, 234]) #82
Type: 8 Beep 12 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x8', '0xc', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xec']), dec([165, 91, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 236]) #84
Type: 1 GetPower 11 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0xb', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xf4']), dec([165, 91, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 244]) #86
Type: 1 ARC 20 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0x14', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xeb']), dec([165, 91, 1, 20, 0, 0, 0, 0, 0, 0, 0, 0, 235]) #88
Type: 1 GetARC 21 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0x15', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xea']), dec([165, 91, 1, 21, 0, 0, 0, 0, 0, 0, 0, 0, 234]) #90
Type: 8 Beep 12 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x8', '0xc', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xec']), dec([165, 91, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 236]) #92
Type: 1 GetPower 11 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0xb', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xf4']), dec([165, 91, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 244]) #94
Type: 1 ARC 20 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0x14', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xeb']), dec([165, 91, 1, 20, 0, 0, 0, 0, 0, 0, 0, 0, 235]) #96
Type: 1 GetARC 21 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0x15', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xea']), dec([165, 91, 1, 21, 0, 0, 0, 0, 0, 0, 0, 0, 234]) #98
Type: 8 Beep 12 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x8', '0xc', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xec']), dec([165, 91, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 236]) #100
Type: 1 GetPower 11 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0xb', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xf4']), dec([165, 91, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 244]) #102
Type: 1 ARC 20 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0x14', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xeb']), dec([165, 91, 1, 20, 0, 0, 0, 0, 0, 0, 0, 0, 235]) #104
Type: 1 GetARC 21 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0x15', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xea']), dec([165, 91, 1, 21, 0, 0, 0, 0, 0, 0, 0, 0, 234]) #106
Type: 8 Beep 12 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x8', '0xc', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xec']), dec([165, 91, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 236]) #108
Type: 1 GetPower 11 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0xb', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xf4']), dec([165, 91, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 244]) #110
Type: 1 ARC 20 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0x14', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xeb']), dec([165, 91, 1, 20, 0, 0, 0, 0, 0, 0, 0, 0, 235]) #112
Type: 1 GetARC 21 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0x15', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xea']), dec([165, 91, 1, 21, 0, 0, 0, 0, 0, 0, 0, 0, 234]) #114
Type: 8 Beep 12 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x8', '0xc', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xec']), dec([165, 91, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 236]) #116
Type: 1 GetPower 11 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0xb', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xf4']), dec([165, 91, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 244]) #118
Type: 1 ARC 20 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0x14', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xeb']), dec([165, 91, 1, 20, 0, 0, 0, 0, 0, 0, 0, 0, 235]) #120
Type: 1 GetARC 21 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0x15', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xea']), dec([165, 91, 1, 21, 0, 0, 0, 0, 0, 0, 0, 0, 234]) #122
Type: 8 Beep 12 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x8', '0xc', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xec']), dec([165, 91, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 236]) #124
Type: 1 GetPower 11 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0xb', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xf4']), dec([165, 91, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 244]) #126
Type: 1 ARC 20 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0x14', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xeb']), dec([165, 91, 1, 20, 0, 0, 0, 0, 0, 0, 0, 0, 235]) #128
Type: 1 GetARC 21 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0x15', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xea']), dec([165, 91, 1, 21, 0, 0, 0, 0, 0, 0, 0, 0, 234]) #130
Type: 8 Beep 12 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x8', '0xc', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xec']), dec([165, 91, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 236]) #132
Type: 1 GetPower 11 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0xb', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xf4']), dec([165, 91, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 244]) #134
Type: 1 ARC 20 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0x14', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xeb']), dec([165, 91, 1, 20, 0, 0, 0, 0, 0, 0, 0, 0, 235]) #136
Type: 1 GetARC 21 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0x15', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xea']), dec([165, 91, 1, 21, 0, 0, 0, 0, 0, 0, 0, 0, 234]) #138
Type: 8 Beep 12 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x8', '0xc', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xec']), dec([165, 91, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 236]) #140
Type: 1 GetPower 11 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0xb', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xf4']), dec([165, 91, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 244]) #142
Type: 1 ARC 20 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0x14', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xeb']), dec([165, 91, 1, 20, 0, 0, 0, 0, 0, 0, 0, 0, 235]) #144
Type: 1 GetARC 21 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0x15', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xea']), dec([165, 91, 1, 21, 0, 0, 0, 0, 0, 0, 0, 0, 234]) #146
Type: 8 Beep 12 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x8', '0xc', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xec']), dec([165, 91, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 236]) #148
Type: 1 GetPower 11 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0xb', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xf4']), dec([165, 91, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 244]) #150
Type: 1 ARC 20 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0x14', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xeb']), dec([165, 91, 1, 20, 0, 0, 0, 0, 0, 0, 0, 0, 235]) #152
Type: 1 GetARC 21 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0x15', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xea']), dec([165, 91, 1, 21, 0, 0, 0, 0, 0, 0, 0, 0, 234]) #154
Type: 8 Beep 12 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x8', '0xc', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xec']), dec([165, 91, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 236]) #156
